timestamp,travel_time_seconds,travel_time_minutes,distance_meters,distance_km,hour_of_day,day_of_week,day_of_month,month,year,is_weekend,is_morning_rush_hour,is_evening_rush_hour,is_rush_hour,speed_kmph,avg_aqi_value,pm25,pm10,o3,co,so2,no2,"origin_Gachibowli, Hyderabad, Telangana","origin_Jubilee Hills Check Post, Hyderabad, Telangana","origin_Koti, Hyderabad, Telangana","origin_LB Nagar, Hyderabad, Telangana","origin_MGBS, Hyderabad, Telangana","origin_Miyapur, Hyderabad, Telangana","origin_Paradise Circle, Secunderabad, Telangana","origin_Secunderabad Railway Station, Malkajgiri, Secunderabad","origin_Secunderabad Railway Station, Secunderabad, Telangana","destination_Banjara Hills Road No 12, Hyderabad, Telangana","destination_Begum Bazaar, Hyderabad, Telangana","destination_Dilsukhnagar, Hyderabad, Telangana","destination_ECIL X Road, Hyderabad, Telangana","destination_Financial District, Hyderabad, Telangana","destination_Hitech City, Hyderabad, Telangana","destination_Keesara, Hyderabad, Telangana","destination_Kukatpally Housing Board, Hyderabad, Telangana","destination_MG Road, Secunderabad, Telangana",summary_route_Begumpet Rd,summary_route_Cheeriyal Main Rd/Road No. 10,summary_route_ECIL - Keesara Rd,summary_route_Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,summary_route_ISB Rd,summary_route_Kaifi Azmi Road,summary_route_Kukatpally Housing Board - Hitech City Rd,summary_route_LV Prasad Marg/Road No. 2,summary_route_Lalapet - Moula Ali Rd,summary_route_Malakunta Road,summary_route_NH 44,summary_route_NH 65,summary_route_Road No. 36
2025-05-26 17:08:00.973180,770,12.83,3127,3.13,17,0,26,5,2025,0,0,1,1,14.619740259740261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2025-05-26 17:08:00.772914,1158,19.3,5825,5.83,17,0,26,5,2025,0,0,1,1,18.10880829015544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2025-05-26 17:08:00.595842,3120,52.0,20413,20.41,17,0,26,5,2025,0,0,1,1,23.553461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-26 17:08:01.884179,4085,68.08,21229,21.23,17,0,26,5,2025,0,0,1,1,18.708543451652385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-05-26 17:13:08.257047,1679,27.98,14557,14.56,17,0,26,5,2025,0,0,1,1,31.21215008933889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2025-05-26 17:13:07.451137,2067,34.45,12280,12.28,17,0,26,5,2025,0,0,1,1,21.387518142235123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-05-26 17:13:07.063589,281,4.68,1167,1.17,17,0,26,5,2025,0,0,1,1,14.950889679715305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-05-26 17:13:06.846430,2640,44.0,16860,16.86,17,0,26,5,2025,0,0,1,1,22.990909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-05-26 17:13:06.427070,888,14.8,6545,6.54,17,0,26,5,2025,0,0,1,1,26.533783783783782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2025-05-26 17:13:06.201793,4191,69.85,21229,21.23,17,0,26,5,2025,0,0,1,1,18.235361488904797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
