2025-05-26T19:29:10.587540,@H14149,96,96,71,14.3,3.9,3.2,4.9,AQICN
2025-05-26T19:29:13.119719,@H11284,53,53,32,9.3,4.0,5.1,33.0,AQICN
2025-05-26T19:29:14.299885,@H14140,82,82,51,15.5,2.9,4.0,5.7,AQICN
2025-05-26T19:34:16.942458,Hyderabad,161,161,83,14.5,9.7,3.5,4.7,AQICN
2025-05-26T19:34:18.673554,@H14156,96,96,71,9.7,10.5,4.8,8.6,AQICN
2025-05-26T19:34:20.026702,@H14149,96,96,71,14.3,3.9,3.2,4.9,AQICN
2025-05-26T19:34:23.393046,@H11284,53,53,32,9.3,4.0,5.1,33.0,AQICN
2025-05-26T19:34:25.569267,@H14140,82,82,51,15.5,2.9,4.0,5.7,AQICN
2025-05-26T19:39:29.251225,Hyderabad,161,161,83,14.5,9.7,3.5,4.7,AQICN
2025-05-26T19:39:29.942395,@H14156,96,96,71,9.7,10.5,4.8,8.6,AQICN
2025-05-26T19:39:30.595636,@H14149,96,96,71,14.3,3.9,3.2,4.9,AQICN
2025-05-26T19:39:32.555996,@H11284,53,53,32,9.3,4.0,5.1,33.0,AQICN
2025-05-26T19:39:33.870283,@H14140,82,82,51,15.5,2.9,4.0,5.7,AQICN
2025-05-26T19:44:38.975162,@H14156,97,97,71,9.7,10.6,4.7,8.3,AQICN
2025-05-26T19:44:39.999554,@H14149,96,96,71,14.3,3.9,3.2,4.9,AQICN
2025-05-26T19:44:42.508036,@H11284,53,53,32,9.3,4.0,5.1,33.0,AQICN
2025-05-26T19:44:43.881133,@H14140,82,82,51,15.5,2.9,4.0,5.7,AQICN
2025-05-26T19:49:48.489031,Hyderabad,161,161,83,14.5,9.7,3.5,4.7,AQICN
2025-05-26T19:49:49.557955,@H14156,97,97,71,9.7,10.6,4.7,8.3,AQICN
2025-05-26T19:49:50.637271,@H14149,96,96,71,14.3,3.9,3.2,4.9,AQICN
2025-05-26T19:49:52.871586,@H11284,53,53,32,9.3,4.0,5.1,33.0,AQICN
2025-05-26T19:49:53.540651,@H14140,82,82,51,15.5,2.9,4.0,5.7,AQICN
2025-05-26T19:54:56.138378,Hyderabad,161,161,83,14.5,9.7,3.5,4.7,AQICN
2025-05-26T19:54:57.477420,@H14156,97,97,71,9.7,10.6,4.7,8.3,AQICN
2025-05-26T19:54:59.082554,@H14149,96,96,71,14.3,3.9,3.2,4.9,AQICN
2025-05-26T19:55:00.993999,@H11284,53,53,32,9.3,4.0,5.1,33.0,AQICN
2025-05-26T19:55:02.601836,@H14140,82,82,51,15.5,2.9,4.0,5.7,AQICN
2025-05-26T20:00:06.268737,Hyderabad,161,161,83,14.5,9.7,3.5,4.7,AQICN
2025-05-26T20:00:07.887799,@H14156,97,97,71,9.7,10.6,4.7,8.3,AQICN
2025-05-26T20:00:09.413315,@H14149,96,96,71,14.3,3.9,3.2,4.9,AQICN
2025-05-26T20:00:14.354031,@H11284,53,53,32,9.3,4.0,5.1,33.0,AQICN
2025-05-26T20:00:15.193198,@H14140,82,82,51,15.5,2.9,4.0,5.7,AQICN
2025-05-26T20:05:18.406937,Hyderabad,161,161,83,14.5,9.7,3.5,4.7,AQICN
2025-05-26T20:05:19.947345,@H14156,97,97,71,9.7,10.6,4.7,8.3,AQICN
2025-05-26T20:05:21.547499,@H14149,96,96,71,14.3,3.9,3.2,4.9,AQICN
2025-05-26T20:05:24.617542,@H11284,53,53,32,9.3,4.0,5.1,33.0,AQICN
